Date,Precipitacion,Temperatura_Minima,Temperatura_Maxima,Int._del_Viento
2017-10-23,0,"13,4",28,"6,1"
2017-10-24,0,"10,6","27,3","4,6"
2017-10-25,"3,6","11,8","27,3","2,8"
2017-10-26,"25,5",10,"27,1","3,7"
2017-10-27,"0,1","9,5","24,4","2,5"
2017-10-28,"0,1","8,2","30,3","5,9"
2017-10-29,"1,2",8,"17,2","7,3"
2017-10-30,0,"5,9","23,8","4,9"
2017-10-31,"10,6","7,3","26,7","6,6"
2017-11-01,"5,1","13,5","29,2","4,2"
2017-11-02,"24,9","14,1","19,3","4,7"
2017-11-03,0,"10,4",19,"4,4"
2017-11-04,0,"7,2","24,6","3,9"
2017-11-05,0,"12,4","28,8","4,3"
2017-11-06,"4,1","12,6","25,9","4,9"
2017-11-07,"10,9","12,6","22,4","5,7"
2017-11-08,"1,1","10,9","21,3","3,1"
2017-11-09,17,"9,5","25,9","7,1"
2017-11-10,0,"8,8",25,"3,2"
2017-11-11,0,"9,1","28,4","4,5"
2017-11-12,0,"10,9","34,1","5,2"
2017-11-13,0,"16,5","35,4","5,8"
2017-11-14,0,"16,3","34,6","4,4"
2017-11-15,0,"9,6","21,4","8,4"
2017-11-16,0,"4,6","27,9","2,4"
2017-11-17,0,"10,6","22,9","5,8"
2017-11-18,0,"0,8","25,9","3,6"
2017-11-19,0,11,25,"5,2"
2017-11-20,"0,5","14,7","25,5","6,2"
2017-11-21,0,"6,9","26,7","4,4"
2017-11-22,0,"8,4","31,5","4,7"
2017-11-23,0,"13,7","29,7",6
2017-11-24,"0,2","9,6",18,"6,9"
2017-11-25,0,"4,6","30,5","2,2"
2017-11-26,0,"14,4","34,3","4,8"
2017-11-27,0,"13,5","25,3",5
2017-11-28,0,"14,9","30,3","4,7"
2017-11-29,6,"14,9","23,6","3,7"
2017-11-30,0,"11,2","30,7","5,7"
2017-12-01,"25,1","16,8","21,1",4
2017-12-02,"9,5","15,8","22,9","5,2"
2017-12-03,"5,3",16,"21,8","4,5"
2017-12-04,"0,2",15,"23,4","5,6"
2017-12-05,"0,2","15,2","27,4","4,2"
2017-12-06,"0,2","14,5","30,6","4,9"
2017-12-07,"0,1","14,2","33,4","2,5"
2017-12-08,10,"16,7","28,2","3,5"
2017-12-09,0,15,"30,2","4,8"
2017-12-10,0,13,"29,7","5,8"
2017-12-11,0,"14,5","29,1","6,6"
2017-12-12,0,"20,5","34,9","5,7"
2017-12-13,"12,6","16,7","24,8","7,4"
2017-12-14,0,"12,5","31,9","4,4"
2017-12-15,0,"16,1","33,9","4,5"
2017-12-16,0,"23,8","38,9","7,3"
2017-12-17,0,13,"26,1","8,9"
2017-12-18,0,"7,2","31,3","5,7"
2017-12-19,0,"19,6","30,2","5,2"
2017-12-20,0,"16,5","37,2","5,5"
2017-12-21,"6,2","17,2","27,5","6,7"
2017-12-22,"21,1","16,8","31,9","4,5"
2017-12-23,0,"15,1",23,6
2017-12-24,0,11,"31,1","2,8"
2017-12-25,0,"21,7","33,6","4,8"
2017-12-26,"21,5","18,3","30,7","6,3"
2017-12-27,"0,5","17,9","31,3","5,1"
2017-12-28,0,"17,7","34,7",3
2017-12-29,0,18,"36,7","5,6"
2017-12-30,0,"19,2","31,3","6,4"
2017-12-31,"6,1","15,8","22,9","4,9"
2018-01-01,0,"14,4","29,6","2,1"
2018-01-02,0,"15,3","29,7",4
2018-01-03,0,"11,8","33,3","4,8"
2018-01-04,0,"25,8","35,8","6,8"
2018-01-05,"0,3","16,4","25,9","6,8"
2018-01-06,0,"10,8","29,3","3,1"
2018-01-07,0,"14,1",34,"2,9"
2018-01-08,0,"17,7","35,2","5,4"
2018-01-09,0,"18,9","35,6","5,8"
2018-01-10,0,"17,6","35,2","4,8"
2018-01-11,"0,5","22,1",33,"4,7"
2018-01-12,0,"21,8","36,9","4,7"
2018-01-13,"9,7","18,4","22,9","7,3"
2018-01-14,0,"15,8","26,3","4,1"
2018-01-15,0,"11,1","31,7","6,5"
2018-01-16,"56,2",0,"23,5","5,8"
2018-01-17,"1,9","15,3","28,9","2,5"
2018-01-18,0,"16,3","30,4","3,1"
2018-01-19,0,"15,1","32,9","4,4"
2018-01-20,"1,7","13,7","32,5","3,1"
